,Family,Genus,Species,Flight_Call,Season,Habitat,Stratum,collisions,collisions_days
155,Parulidae,vermivora,cyanoptera,yes,autumn,edge,upper,2,2
156,Vireonidae,vireo,gilvus,no,spring,forest,upper,2,2
157,Passerellidae,zonotrichia,querula,yes,autumn,edge,lower,2,2
158,Tyrannidae,contopus,cooperi,no,spring,edge,upper,2,2
159,Icteridae,sturnella,magna,yes,autumn,open,lower,2,2
160,Tyrannidae,contopus,cooperi,no,autumn,edge,upper,2,2
161,Vireonidae,vireo,philadelphicus,no,spring,forest,upper,1,1
162,Cardinalidae,piranga,rubra,yes,autumn,forest,upper,1,1
163,Icteridae,icterus,spurius,yes,autumn,edge,upper,1,1
164,Tyrannidae,myiarchus,crinitus,no,autumn,edge,upper,1,1
165,Icteriidae,icteria,virens,no,autumn,edge,lower,1,1
166,Laniidae,lanius,excubitor,no,autumn,open,upper,1,1
167,Parulidae,setophaga,citrina,yes,autumn,forest,upper,1,1
168,Passerellidae,centronyx,henslowii,yes,autumn,open,lower,1,1
169,Passerellidae,pooecetes,gramineus,yes,autumn,open,lower,1,1
170,Cardinalidae,passerina,caerulea,yes,spring,edge,upper,1,1
